Name,Gender,Count
Mary,F,4125675
Anna,F,892785
Emma,F,672893
Elizabeth,F,1638349
Minnie,F,158841
Margaret,F,1248985
Ida,F,186399
Alice,F,563738
Bertha,F,207642
Sarah,F,1077746
Annie,F,350476
Clara,F,280156
Ella,F,304948
Florence,F,335462
Cora,F,135490
Martha,F,548773
Laura,F,795619
Nellie,F,149572
Grace,F,497009
Carrie,F,265840
Maude,F,45537
Mabel,F,134949
Bessie,F,170038
Jennie,F,126650
Gertrude,F,176886
Julia,F,459021
Hattie,F,99773
Edith,F,266536
Mattie,F,131300
Rose,F,483744
Catherine,F,660366
Lillian,F,444800
Ada,F,95817
Lillie,F,156062
Helen,F,1019053
Jessie,F,167462
Louise,F,333019
Ethel,F,278732
Lula,F,84455
Myrtle,F,136450
Eva,F,266324
Frances,F,590068
Lena,F,138212
Lucy,F,202620
Edna,F,294376
Maggie,F,115545
Pearl,F,156514
Daisy,F,141868
Fannie,F,85005
Josephine,F,307270
Dora,F,105352
Rosa,F,174125
Katherine,F,637705
Agnes,F,157960
Marie,F,536691
Nora,F,150545
May,F,48355
Mamie,F,77760
Blanche,F,87365
Stella,F,174691
Ellen,F,273297
Nancy,F,1002365
Effie,F,43718
Sallie,F,49802
Nettie,F,49306
Della,F,67818
Lizzie,F,38846
Flora,F,68172
Susie,F,85089
Maud,F,13141
Mae,F,110744
Etta,F,41357
Harriet,F,88689
Sadie,F,125159
Caroline,F,228558
Katie,F,236944
Lydia,F,167114
Elsie,F,178650
Kate,F,80983
Susan,F,1121703
Mollie,F,46671
Alma,F,159366
Addie,F,44076
Georgia,F,152359
Eliza,F,53838
Lulu,F,12305
Nannie,F,25560
Lottie,F,46216
Amanda,F,785766
Belle,F,17389
Charlotte,F,361900
Rebecca,F,748406
Ruth,F,824855
Viola,F,131384
Olive,F,55471
Amelia,F,191791
Hannah,F,433510
Jane,F,371533
Virginia,F,648979
Emily,F,850263
Matilda,F,32165
Irene,F,352199
Kathryn,F,451947
Esther,F,256968
Willie,F,146156
Henrietta,F,50797
Ollie,F,40999
Amy,F,691753
Rachel,F,564572
Sara,F,424738
Estella,F,39414
Theresa,F,403546
Augusta,F,16279
Ora,F,38993
Pauline,F,226000
Josie,F,58477
Lola,F,88404
Sophia,F,350103
Leona,F,108936
Anne,F,321614
Mildred,F,450709
Ann,F,468626
Beulah,F,73119
Callie,F,58424
Lou,F,33703
Delia,F,36276
Eleanor,F,288417
Barbara,F,1434397
Iva,F,37615
Louisa,F,19214
Maria,F,546026
Mayme,F,10892
Evelyn,F,573403
Estelle,F,53539
Nina,F,126912
Betty,F,999718
Marion,F,188391
Bettie,F,38319
Dorothy,F,1107635
Luella,F,30534
Inez,F,67508
Lela,F,42305
Rosie,F,80012
Allie,F,48492
Millie,F,30321
Janie,F,74614
Cornelia,F,21771
Victoria,F,493735
Ruby,F,351681
Winifred,F,43413
Alta,F,28720
Celia,F,54225
Christine,F,584855
Beatrice,F,191101
Birdie,F,12357
Harriett,F,21544
Mable,F,52861
Myra,F,60360
Sophie,F,113974
Tillie,F,14676
Isabel,F,119138
Sylvia,F,239775
Carolyn,F,555160
Isabelle,F,93008
Leila,F,46301
Sally,F,203881
Ina,F,33727
Essie,F,39336
Bertie,F,13651
Nell,F,26798
Alberta,F,70294
Katharine,F,40957
Lora,F,51865
Rena,F,38566
Mina,F,15898
Rhoda,F,25677
Mathilda,F,7285
Abbie,F,21513
Eula,F,47084
Dollie,F,19156
Hettie,F,7287
